Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak	malignant cell	ENSG00000244041	LINC01011	lncRNA	0.8762566715918081	-0.10936144647242596	0.035	0.037	1	3	2	ENSG00000244041
Pozniak	malignant cell	ENSG00000068394	GPKOW	protein_coding	0.8762693301938591	0.5672338634957748	0.159	0.165	1	14	10	ENSG00000068394
Pozniak	malignant cell	ENSG00000113368	LMNB1	protein_coding	0.876326465029398	0.293491706476785	0.136	0.144	1	16	16	ENSG00000113368
Pozniak	malignant cell	ENSG00000172530	BANP	protein_coding	0.8767820781944696	0.5760385742445786	0.202	0.222	1	17	14	ENSG00000172530
Pozniak	malignant cell	ENSG00000185168	LINC00482	lncRNA	0.8775799806455835	0.19625671602759986	0.008	0.009	1	1	0	ENSG00000185168
Pozniak	malignant cell	ENSG00000217128	FNIP1	protein_coding	0.8776873713199336	-0.05438464862968673	0.453	0.488	1	61	53	ENSG00000217128
Pozniak	malignant cell	ENSG00000136068	FLNB	protein_coding	0.8778168848564167	0.6177600712281396	0.329	0.366	1	68	41	ENSG00000136068
Pozniak	malignant cell	ENSG00000160285	LSS	protein_coding	0.8780822544812577	0.2445128063890123	0.182	0.192	1	16	13	ENSG00000160285
Pozniak	malignant cell	ENSG00000236305	SLC12A9-AS1	lncRNA	0.8788312688560086	0.6099706243785059	0.019	0.018	1	2	1	ENSG00000236305
Pozniak	malignant cell	ENSG00000266554	LINC01443	lncRNA	0.8789737095537128	-0.21210905450242734	0.062	0.059	1	5	6	ENSG00000266554
Pozniak	malignant cell	ENSG00000100084	HIRA	protein_coding	0.879508971440857	0.4156222147319881	0.132	0.133	1	12	8	ENSG00000100084
Pozniak	malignant cell	ENSG00000104691	UBXN8	protein_coding	0.8795711363271688	0.3534104376499503	0.283	0.299	1	28	21	ENSG00000104691
Pozniak	malignant cell	ENSG00000163684	RPP14	protein_coding	0.8806080854974853	0.1583784836358162	0.244	0.268	1	23	18	ENSG00000163684
Pozniak	malignant cell	ENSG00000204086	RPA4	protein_coding	0.8807356155448067	0.7151826285234053	0.008	0.009	1	1	0	ENSG00000204086
